name,cmc,price,color
Canopy Dragon,6,3.02,#087500
Canopy Tactician,4,1.16,#087500
Capricopian,1,0.21,#087500
Cardboard Carapace,6,1.25,#087500
Carnage Tyrant,6,10.45,#087500
Carnassid,6,0.33,#087500
Cavalier of Thorns,5,1.88,#087500
Cazur- Ruthless Stalker,4,1.26,#087500
Centaur Vinecrasher,4,0.23,#087500
Chameleon Colossus,4,3.33,#087500
Champion of Lambholt,3,1.36,#087500
Champion of Rhonas,4,0.25,#087500
Chancellor of the Tangle,7,0.93,#087500
Channel,2,0.73,#087500
Channeler Initiate,2,0.3,#087500
Charging Rhino,5,0.37,#087500
Child of Gaea,6,0.38,#087500
Chlorophant,3,0.61,#087500
Chord of Calling,3,4.04,#087500
Citanul Centaurs,4,3.08,#087500
Citanul Hierophants,4,2.75,#087500
City of Solitude,3,46.95,#087500
Clear the Land,3,0.44,#087500
Cliffrunner Behemoth,4,0.35,#087500
Cloudthresher,6,0.24,#087500
Cockatrice,5,0.36,#087500
Collected Company,4,17.69,#087500
Collective Unconscious,6,2.08,#087500
Collective Voyage,1,7.58,#087500
Collector Ouphe,2,3.91,#087500
Colossification,7,0.48,#087500
Copperhoof Vorrac,5,0.42,#087500
Courser of Kruphix,3,3.81,#087500
Court of Bounty,4,2.13,#087500
Cragplate Baloth,7,0.12,#087500
Crashing Footfalls,0,0.29,#087500
Crash of Rhino Beetles,5,0.64,#087500
Craterhoof Behemoth,8,55.77,#087500
Crazed Armodon,4,0.33,#087500
Cream of the Crop,2,6.04,#087500
Creeperhulk,5,0.27,#087500
Creeping Corrosion,4,0.37,#087500
Creeping Renaissance,5,0.72,#087500
Crown of Skemfar,4,0.28,#087500
Crush of Wurms,9,1.02,#087500
Cryptolith Rite,2,11.29,#087500
Cultivate,3,11.62,#087500
Cultivator of Blades,5,0.16,#087500
Curious Herd,4,0.1,#087500
Curse of Predation,3,0.23,#087500
Cycle of Life,3,1.84,#087500
Cylian Sunsinger,2,0.21,#d78f42
Cytoplast Root-Kin,4,0.47,#087500
Daughter of Autumn,4,1.38,#d78f42
Dauntless Dourbark,4,2.93,#087500
Dawnglade Regent,7,0.27,#087500
Dawnstrider,2,1.84,#087500
Daybreak Ranger // Nightfall Predator,3,1.07,#d78f42
Deadbridge Goliath,4,0.14,#087500
Deathcap Cultivator,2,0.29,#d78f42
Deathgorge Scavenger,3,0.41,#087500
Deathmist Raptor,3,0.52,#087500
Death's Presence,6,0.81,#087500
Decree of Savagery,9,0.83,#087500
Deep Forest Hermit,5,0.54,#087500
Deeproot Champion,2,0.2,#087500
Deeproot Elite,2,0.89,#087500
Deepwood Elder,2,0.24,#087500
Defense of the Heart,4,15.86,#087500
Den Protector,2,0.15,#087500
Dense Foliage,3,0.83,#087500
Deranged Outcast,2,0.13,#087500
Descendants' Path,3,9.31,#087500
Dictate of Karametra,5,1.83,#087500
Dirtcowl Wurm,5,0.83,#087500
Dosan the Falling Leaf,3,13.35,#087500
Doubling Chant,6,0.41,#087500
Doubling Season,5,64.46,#087500
Dramatic Entrance,5,1.46,#087500
Druids' Repository,3,1.59,#087500
Dryad Arbor,0,5.97,#087500
Dryad of the Ilysian Grove,3,16.52,#087500
Dual Nature,6,0.72,#087500
Dubious Challenge,4,0.12,#087500
Dungrove Elder,3,1.16,#087500
Dwynen- Gilt-Leaf Daen,4,0.25,#087500
Earl of Squirrel,6,0.76,#087500
Early Harvest,3,1.76,#087500
Earth Surge,4,0.5,#087500
Eidolon of Blossoms,4,0.73,#087500
Eladamri- Lord of Leaves,2,109.07,#087500
Eladamri's Vineyard,1,14.46,#087500
Elder Druid,4,0.46,#087500
Elder Gargaroth,5,15.72,#087500
Elder of Laurels,3,0.23,#087500
Elderscale Wurm,7,1.96,#087500
Eldritch Evolution,3,4.97,#087500
Elemental Resonance,4,2.14,#087500
Elephant Resurgence,2,0.27,#087500
Elven Riders,5,11.71,#087500
Elven Warhounds,4,0.62,#087500
Elvish Archdruid,3,1.78,#087500
Elvish Archers,2,0.32,#087500
Elvish Champion,3,11.4,#087500
Elvish Clancaller,2,2.89,#087500
Elvish Piper,4,5.84,#087500
Elvish Reclaimer,1,4.59,#087500
Elvish Soultiller,5,0.51,#087500
Elvish Vanguard,2,1.56,#087500
Elvish Warmaster,2,3.08,#087500
Emperor Crocodile,4,0.21,#087500
Emperor's Vanguard,4,0.12,#087500
Emrakul's Evangel,3,0.14,#087500
Enchantress's Presence,3,6.16,#087500
Endless Swarm,8,0.51,#087500
Endless Wurm,5,0.61,#087500
End-Raze Forerunners,8,0.25,#087500
Engulfing Slagwurm,7,0.81,#087500
Enshrined Memories,1,0.59,#087500
Epic Proportions,6,0.23,#087500
Epic Struggle,4,4.01,#087500
Erhnam Djinn,4,0.26,#087500
Erithizon,4,0.23,#087500
Esika- God of the Tree // The Prismatic Bridge,3,12.78,#d78f42
Esika's Chariot,4,0.41,#087500
Essence of the Wild,6,0.8,#087500
Eternal Witness,3,7.68,#087500
Ethereal Elk,5,0.24,#087500
Evolutionary Leap,2,0.9,#087500
Exploration,1,19.13,#087500
Explore,2,7.1,#087500
Eyes of the Wisent,2,0.52,#087500
Ezuri's Brigade,4,0.18,#087500
Ezuri's Predation,8,13.79,#087500
Faerie Noble,3,6.92,#087500
Fangren Firstborn,4,0.91,#087500
Fated Intervention,5,0.09,#087500
Fauna Shaman,2,14.94,#087500
Feasting Troll King,6,0.23,#087500
Feed the Pack,6,0.55,#087500
Feline Sovereign,3,0.48,#087500
Feral Hydra,1,1.35,#087500
Feral Throwback,6,0.21,#087500
Finale of Devastation,2,29.98,#087500
Foe-Razer Regent,7,0.41,#087500
Food Chain,3,70.19,#087500
Forbidden Lore,3,0.3,#087500
Force of Savagery,3,1.37,#087500
Force of Vigor,4,9.19,#087500
Forgotten Ancient,4,2.83,#087500
Forgotten Harvest,2,0.24,#087500
Form of the Squirrel,1,5.39,#087500
Foster,4,0.13,#087500
Fraction Jackson,3,0.47,#087500
Fresh Meat,4,0.12,#087500
Frontier Siege,4,0.55,#087500
Fugitive Druid,4,0.3,#087500
Full Flowering,1,0.37,#087500
Fungal Behemoth,4,1.23,#087500
Fungusaur,4,0.31,#087500
Fungus Elemental,4,3.25,#087500
Fungus Sliver,4,0.25,#087500
Gaea's Anthem,3,0.85,#087500
Gaea's Avenger,3,55.47,#087500
Gaea's Herald,2,2.64,#087500
Gaea's Liege,6,0.31,#087500
Gaea's Revenge,7,0.3,#087500
Game Preserve,3,0.26,#087500
Gargos- Vicious Watcher,6,1.12,#087500
Garruk- Caller of Beasts,6,8.6,#087500
Garruk- Primal Hunter,5,1.93,#087500
Garruk Relentless // Garruk- the Veil-Cursed,4,4.02,#d78f42
Garruk's Harbinger,3,0.29,#087500
Garruk's Horde,7,0.23,#087500
Garruk's Warsteed,5,0.43,#087500
Garruk- Unleashed,4,2.64,#087500
Gelatinous Genesis,1,1.12,#087500
Gemrazer,4,3.3,#087500
Generous Patron,3,2.64,#087500
Genesis,5,0.22,#087500
Genesis Hydra,2,0.33,#087500
Genesis Storm,6,0.3,#087500
Genesis Wave,3,8.99,#087500
Ghalta- Primal Hunger,12,4.97,#087500
Ghoultree,8,0.53,#087500
Giant Adephage,7,0.68,#087500
Giant Growth,1,2.55,#087500
Gigantiform,5,0.23,#087500
Gigantomancer,8,0.56,#087500
Gigantosaurus,5,1.93,#087500
Gilded Goose,1,1.76,#087500
Gilt-Leaf Archdruid,5,11.18,#087500
Gladehart Cavalry,7,0.2,#087500
Glademuse,3,0.09,#087500
Glimpse of Nature,1,17.62,#087500
Glissa Sunseeker,4,1.33,#087500
God-Eternal Rhonas,5,12.02,#087500
Golgari Grave-Troll,5,3.87,#087500
Goreclaw- Terror of Qal Sisma,4,4.61,#087500
Gorm the Great,4,0.5,#087500
Grave Sifter,6,0.47,#087500
Greatbow Doyen,5,0.81,#087500
Greater Good,4,3.94,#087500
Great Sable Stag,3,0.54,#087500
Greenbelt Rampager,1,0.21,#087500
Greener Pastures,3,0.3,#087500
Green Sun's Zenith,1,21.16,#087500
Greenwarden of Murasa,6,1.3,#087500
Greenwheel Liberator,2,0.14,#087500
Grothama- All-Devouring,5,4.26,#087500
Groundbreaker,3,2.11,#087500
Ground Seal,2,0.29,#087500
Growing Rites of Itlimoc // Itlimoc- Cradle of the Sun,3,27.02,#087500
Growth-Chamber Guardian,2,0.25,#087500
Guardian Project,4,8.68,#087500
Gurzigost,5,0.29,#087500
Gutter Grime,5,0.31,#087500
Gyre Sage,2,5.52,#087500
Hall of Gemstone,3,39.44,#087500
Harabaz Druid,2,1.9,#087500
Hardened Scales,1,7.35,#087500
Harrow,3,6.3,#087500
Harvest Season,3,0.79,#087500
Hatchery Spider,7,0.27,#087500
Heartbeat of Spring,3,2.1,#087500
Heartwood Storyteller,3,0.81,#087500
Helix Pinnacle,1,8.71,#087500
Herald of the Pantheon,2,1.16,#087500
Heritage Druid,1,11.37,#087500
Heroes' Bane,5,0.26,#087500
Heroic Intervention,2,12.68,#087500
Hero of Leina Tower,1,0.12,#087500
Hexdrinker,1,19.27,#087500
Hibernation's End,5,1.65,#087500
Hidden Gibbons,1,0.45,#087500
Hidden Herd,1,0.33,#087500
Hidden Path,6,16.27,#087500
Hidden Predators,1,0.28,#087500
Hidden Stag,2,0.28,#087500
Holistic Wisdom,3,1.3,#087500
Honored Hierarch,1,0.24,#087500
Honored Hydra,6,0.21,#087500
Hooded Hydra,2,0.98,#087500
Hornet Nest,3,1.46,#087500
Hornet Queen,7,0.72,#087500
Hot Springs,2,1.83,#087500
Hour of Promise,5,1.43,#087500
Hua Tuo- Honored Physician,3,0.49,#087500
Hum of the Radix,4,0.47,#087500
Hungering Hydra,1,0.43,#087500
Hungry Lynx,2,6.11,#087500
Hunted Troll,4,1.07,#087500
Hunter's Prowess,5,0.18,#087500
Hurricane,1,0.79,#087500
Hydra Broodmaster,6,2.46,#087500
Hydradoodle,2,0.61,#087500
Hydra Omnivore,6,4.01,#087500
Hypergenesis,0,0.87,#087500
Hystrodon,5,1.5,#087500
Immaculate Magistrate,4,0.45,#087500
Imperious Perfect,3,0.19,#087500
Iname- Life Aspect,6,0.52,#087500
Incoming!,8,1.08,#087500
Increasing Savagery,4,0.73,#087500
Incubation Druid,2,2.14,#087500
Ineffable Blessing,2,1.66,#087500
Ineffable Blessing,2,1.27,#087500
Ineffable Blessing,2,2.08,#087500
Ineffable Blessing,2,3.14,#087500
Ineffable Blessing,2,1.38,#087500
Ineffable Blessing,2,3.1,#087500
Inexorable Blob,3,0.15,#087500
Inscription of Abundance,2,0.32,#087500
In Search of Greatness,2,1.67,#087500
Insist,1,0.65,#087500
Into the Wilds,4,0.85,#087500
Ironscale Hydra,5,2.9,#087500
Isao- Enlightened Bushi,3,0.74,#087500
Ishkanah- Grafwidow,5,1.15,#d78f42
Ivy Elemental,1,0.29,#087500
Iwamori of the Open Fist,4,0.35,#087500
Jade Leech,4,0.25,#087500
Jadelight Ranger,3,0.74,#087500
Jedit Ojanen of Efrava,6,1.33,#087500
Joiner Adept,2,2.59,#087500
Jolrael- Empress of Beasts,5,1.07,#087500
Jolrael- Mwonvuli Recluse,2,0.42,#087500
Joraga Warcaller,1,16.58,#087500
Jorn- God of Winter // Kaldring- the Rimestaff,3,1.04,#d78f42
Journey for the Elixir,3,0.14,#087500
Jugan- the Rising Star,6,0.65,#087500
Jungle Patrol,4,4.08,#d78f42
Kalonian Behemoth,7,0.43,#087500
Kalonian Hydra,5,17.76,#087500
Kalonian Twingrove,6,0.55,#087500
Kamahl- Fist of Krosa,6,8.79,#087500
Kamahl- Heart of Krosa,8,3.0,#087500
Kamahl's Druidic Vow,2,0.6,#087500
Kamahl's Will,4,0.23,#087500
Katabatic Winds,3,4.29,#087500
Kavu Lair,3,0.94,#087500
Kavu Mauler,6,0.24,#087500
Kavu Titan,2,1.2,#087500
Kazandu Mammoth // Kazandu Valley,3,0.5,#087500
Kazandu Tuskcaller,2,0.41,#087500
Keeper of Progenitus,4,1.85,#087500
Kessig Cagebreakers,5,0.53,#087500
Khalni Hydra,8,16.15,#087500
Killer Bees,3,42.58,#087500
Kindred Summons,7,31.1,#087500
Kodama of the Center Tree,5,0.39,#087500
Kodama of the East Tree,6,2.11,#087500
Kodama of the North Tree,5,0.64,#087500
Kodama of the South Tree,4,0.55,#087500
Kogla- the Titan Ape,6,1.64,#087500
Kolvori- God of Kinship // The Ringhart Crest,4,0.26,#087500
Krosan Beast,4,5.36,#087500
Krosan Cloudscraper,10,0.54,#087500
Krosan Colossus,9,0.31,#087500
Leaf-Crowned Elder,4,2.38,#087500
Leyline of Abundance,4,2.44,#087500
Leyline of Lifeforce,4,2.51,#087500
Leyline of Vitality,4,1.82,#087500
Lhurgoyf,4,0.36,#087500
Lichenthrope,5,2.05,#087500
Liege of the Hollows,4,13.65,#087500
Liege of the Tangle,8,0.81,#087500
Life and Limb,4,0.22,#087500
Lifeblood Hydra,3,12.79,#087500
Life from the Loam,2,12.48,#087500
Lifegift,3,1.49,#087500
Lifelace,1,0.36,#087500
Life's Legacy,2,2.25,#087500
Living Artifact,1,0.32,#087500
Living Hive,8,0.46,#087500
Living Wish,2,0.38,#087500
Loaming Shaman,3,0.29,#087500
Lost in the Woods,5,0.13,#087500
Lotus Cobra,2,2.47,#087500
Lovestruck Beast // Heart's Desire,3,0.25,#087500
Lure of Prey,4,11.49,#087500
Lurker,3,10.59,#087500
Lurking Predators,6,6.05,#087500
Magnigoth Treefolk,5,0.4,#087500
Magus of the Candelabra,1,1.71,#087500
Magus of the Library,2,0.51,#087500
Magus of the Order,4,0.21,#087500
Magus of the Vineyard,1,4.41,#087500
Majestic Myriarch,5,0.45,#087500
Mammoth Harness,4,2.33,#087500
Mana Bloom,1,0.45,#087500
Managorger Hydra,3,4.45,#087500
Manaplasm,3,0.26,#087500
Mana Reflection,6,10.09,#087500
Mantle of the Wolf,4,0.14,#087500
Maro,4,0.16,#087500
Marshaling the Troops,2,23.93,#087500
Marwyn- the Nurturer,3,0.52,#087500
Masked Admirers,4,0.2,#087500
Master of the Hunt,4,53.45,#087500
Master of the Wild Hunt,4,7.08,#087500
Masumaro- First to Live,6,0.69,#087500
Mayor of Avabruck // Howlpack Alpha,2,1.56,#087500
Meandering Towershell,5,0.17,#087500
Megantic Sliver,6,1.31,#087500
Megatherium,3,0.21,#087500
Melira- Sylvok Outcast,2,3.91,#087500
Midsummer Revel,5,0.33,#087500
Might of Oaks,4,0.43,#087500
Mindbender Spores,3,1.52,#087500
Mine- Mine- Mine!,6,1.17,#087500
Mirri's Guile,1,36.22,#087500
Mistcutter Hydra,1,2.1,#087500
Mitotic Slime,5,0.71,#087500
Molder Slug,5,0.52,#087500
Moldgraf Monstrosity,7,0.25,#087500
Molimo- Maro-Sorcerer,7,0.12,#087500
Momentous Fall,4,0.59,#087500
Mongrel Pack,4,2.32,#087500
Mossbridge Troll,7,2.12,#087500
Mouth // Feed,7,0.25,#087500
Mul Daya Channelers,3,1.24,#087500
Multani- Maro-Sorcerer,6,22.66,#087500
Multani- Yavimaya's Avatar,6,1.42,#087500
Mungha Wurm,4,0.23,#087500
Muraganda Petroglyphs,4,0.32,#087500
Mwonvuli Ooze,1,1.77,#087500
Mycoloth,5,1.89,#087500
Myojin of Life's Web,9,3.84,#087500
Mythic Proportions,7,0.51,#087500
Mythos of Brokkos,4,0.25,#d78f42
Myth Unbound,3,3.17,#087500
Nantuko Blightcutter,3,0.24,#087500
Nantuko Cultivator,4,0.21,#087500
Nantuko Mentor,3,0.28,#087500
Nantuko Shrine,3,0.95,#087500
Natural Affinity,3,0.63,#087500
Natural Balance,4,10.32,#087500
Natural Order,4,31.7,#087500
Nature's Cloak,3,0.55,#087500
Nature's Resurgence,4,0.34,#087500
Nature's Revolt,5,0.95,#087500
Nature's Will,4,22.48,#087500
Naya Soulbeast,8,0.17,#087500
Nemata- Grove Guardian,6,3.56,#087500
Nessian Boar,5,0.13,#087500
Nessian Wilds Ravager,6,0.24,#087500
New Frontiers,1,3.64,#087500
Neyith of the Dire Hunt,4,7.43,#d78f42
Niall Silvain,3,9.52,#087500
Nightpack Ambusher,4,0.23,#087500
Nissa Revane,4,9.36,#087500
Nissa's Chosen,2,2.2,#087500
Nissa's Encouragement,5,0.17,#087500
Nissa's Renewal,6,0.15,#087500
Nissa's Revelation,7,0.24,#087500
Nissa- Vastwood Seer // Nissa- Sage Animist,3,12.37,#087500
Nissa- Vital Force,5,8.67,#087500
Nissa- Who Shakes the World,5,5.74,#087500
Nissa- Worldwaker,5,5.41,#087500
Noble Hierarch,1,15.74,#d78f42
Nostalgic Dreams,2,3.41,#087500
Nourishing Shoal,2,0.4,#087500
Nullhide Ferox,4,0.53,#087500
Nut Collector,6,26.64,#087500
Nylea- God of the Hunt,4,9.47,#087500
Nylea- Keen-Eyed,4,4.85,#087500
Nylea's Colossus,7,1.12,#087500
Nylea's Intervention,2,0.65,#087500
Nyxbloom Ancient,7,21.1,#087500
Oath of Druids,2,2.11,#087500
Oath of Nissa,1,3.28,#087500
Oath of the Ancient Wood,3,0.21,#087500
Obscuring Aether,1,0.33,#087500
Obscuring Haze,3,1.01,#087500
Obstinate Baloth,4,0.5,#087500
Ohran Frostfang,5,18.15,#087500
Ohran Viper,3,0.81,#087500
Old Fogey,2,0.16,#087500
Old-Growth Dryads,1,0.17,#087500
Old-Growth Troll,3,0.35,#087500
Omnath- Locus of Mana,3,28.54,#087500
Once Upon a Time,2,1.31,#087500
Ooze Flux,4,0.24,#087500
Ooze Garden,2,0.35,#087500
Oracle of Mul Daya,4,33.57,#087500
Oran-Rief Hydra,6,0.54,#087500
Oran-Rief Ooze,3,0.22,#087500
Outland Colossus,5,0.2,#087500
Overlaid Terrain,4,0.4,#087500
Overwhelming Stampede,5,3.51,#087500
Oviya Pashiri- Sage Lifecrafter,1,0.25,#087500
Oxidize,1,2.14,#087500
Pack Hunt,4,0.4,#087500
Pale Bears,3,2.67,#087500
Paleoloth,6,0.61,#087500
Panglacial Wurm,7,2.18,#087500
Pangosaur,4,0.24,#087500
Parallel Evolution,5,4.42,#087500
Parallel Lives,4,48.63,#087500
Pathbreaker Ibex,6,16.93,#087500
Path of Discovery,4,2.95,#087500
Patron of the Orochi,8,7.54,#087500
Pattern of Rebirth,4,3.97,#087500
Pelakka Wurm,7,0.17,#087500
Pelt Collector,1,1.31,#087500
Penumbra Wurm,7,0.34,#087500
Permeating Mass,1,0.23,#087500
Petrified Wood-Kin,7,0.24,#087500
Phantom Nantuko,3,0.2,#087500
Pheres-Band Warchief,4,0.16,#087500
Phyrexian Hydra,5,2.47,#087500
Phyrexian Swarmlord,6,7.75,#087500
Phytotitan,6,0.4,#087500
Pippa- Duchess of Dice,3,0.15,#d78f42
Pir- Imaginative Rascal,3,8.87,#087500
Pir's Whim,4,3.7,#087500
Pixie Queen,4,86.59,#087500
Planeswalker's Favor,3,0.32,#087500
Planewide Celebration,7,0.51,#087500
Plated Slagwurm,7,0.37,#087500
Plow Under,5,1.89,#087500
Polukranos- World Eater,4,1.5,#087500
Polyraptor,8,13.18,#087500
Possessed Centaur,4,0.24,#d78f42
Praetor's Counsel,8,3.34,#087500
Predator Ooze,3,0.43,#087500
Predatory Rampage,5,0.2,#087500
Predatory Urge,4,0.16,#087500
Preferred Selection,4,3.17,#087500
Pride Sovereign,3,2.81,#d78f42
Primal Command,5,1.86,#087500
Primalcrux,6,6.0,#087500
Primal Might,1,0.41,#087500
Primal Surge,10,3.51,#087500
Primal Vigor,5,28.89,#087500
Primal Whisperer,5,1.59,#087500
Primeval Bounty,6,4.54,#087500
Primeval Force,5,0.26,#087500
Primeval Protector,11,2.42,#087500
Primeval Titan,6,9.46,#087500
Primitive Etchings,4,0.45,#087500
Primordial Hydra,2,19.91,#087500
Primordial Sage,6,1.02,#087500
Prismatic Omen,2,22.53,#087500
Prodigious Growth,6,0.21,#087500
Protean Hulk,7,6.09,#087500
Protean Hydra,1,4.09,#087500
Prowling Serpopard,3,4.59,#087500
Pulse of the Tangle,3,0.28,#087500
Putrefax,5,0.5,#087500
Pygmy Allosaurus,3,0.55,#087500
Qasali Slingers,5,4.12,#087500
Quagnoth,6,0.17,#087500
Questing Beast,4,13.08,#087500
Quirion Druid,3,9.05,#087500
Quirion Dryad,2,0.2,#087500
Rampage of the Clans,4,0.31,#087500
Rampaging Baloths,6,0.27,#087500
Rampaging Brontodon,7,5.39,#087500
Rampant Growth,2,14.32,#087500
Ramunap Excavator,3,4.09,#087500
Ramunap Hydra,4,0.21,#087500
Rattleclaw Mystic,2,0.54,#d78f42
Ravenous Baloth,4,0.19,#087500
Ravenous Gigantotherium,7,0.12,#087500
Ravenous Slime,3,3.72,#087500
Razorclaw Bear,4,42.01,#087500
Reach of Branches,5,0.47,#087500
Realm Seekers,6,0.47,#087500
Realms Uncharted,3,4.85,#087500
Realmwalker,3,3.32,#087500
Rebirth,6,0.29,#087500
Rebuking Ceremony,5,0.16,#087500
Recollect,3,0.76,#087500
Regal Behemoth,6,21.33,#087500
Regal Force,7,3.07,#087500
Reki- the History of Kamigawa,3,5.51,#087500
Renegade Krasis,3,0.35,#087500
Reshape the Earth,9,5.38,#087500
Resilient Khenra,2,0.17,#087500
Restock,5,0.31,#087500
Return of the Wildspeaker,5,3.36,#087500
Revelation,1,0.48,#087500
Revenge of the Hunted,6,0.29,#087500
Reverent Hunter,3,0.23,#087500
Rhonas's Last Stand,2,0.18,#087500
Rhonas the Indomitable,3,14.98,#087500
Rhox,6,0.69,#087500
Rhys the Exiled,3,1.3,#d78f42
Riding the Dilu Horse,3,102.65,#087500
Ripjaw Raptor,4,2.43,#087500
Rishkar- Peema Renegade,3,0.96,#087500
Rishkar's Expertise,6,8.25,#087500
Rite of Passage,3,1.7,#087500
Rites of Flourishing,3,0.5,#087500
Road of Return,2,0.26,#087500
Roaring Slagwurm,7,0.18,#087500
Root Elemental,6,0.18,#087500
Root Maze,1,4.88,#087500
Rootweaver Druid,3,0.27,#087500
Rowen,4,0.39,#087500
Rude Awakening,5,0.87,#087500
Runic Armasaur,3,3.33,#087500
Rushwood Elemental,5,0.74,#087500
Rysorian Badger,3,2.2,#087500
Sacellum Godspeaker,3,0.24,#087500
Sage of Ancient Lore // Werewolf of Ancient Hunger,5,0.31,#087500
Sakiko- Mother of Summer,6,2.9,#087500
Sandsteppe Mastodon,7,0.12,#087500
Sandwurm Convergence,8,2.2,#087500
Saproling Cluster,2,0.2,#087500
Saproling Infestation,2,0.26,#087500
Saproling Symbiosis,4,6.1,#087500
Sasaya- Orochi Ascendant // Sasaya's Essence,3,2.68,#087500
Savage Summoning,1,0.85,#087500
Sawtusk Demolisher,6,0.26,#087500
Scapeshift,4,17.25,#087500
Scavenging Ooze,2,1.09,#087500
Scion of the Wild,3,0.24,#087500
Scourge of Skola Vale,3,0.44,#087500
Scute Mob,1,0.75,#087500
Scute Swarm,3,3.83,#087500
Seasons Past,6,3.37,#087500
Second Harvest,4,1.91,#087500
Seedborn Muse,5,8.9,#087500
Seeds of Innocence,3,14.66,#087500
Seeds of Renewal,7,1.02,#087500
Seed the Land,4,3.41,#087500
Seedtime,2,9.72,#087500
See the Unwritten,6,0.8,#087500
Sekki- Seasons' Guide,8,3.56,#087500
Selective Adaptation,6,0.14,#087500
Selesnya Eulogist,3,0.19,#087500
Selvala- Heart of the Wilds,3,15.81,#087500
Selvala's Stampede,6,6.58,#087500
Serpentine,0,0.24,#087500
Seshiro the Anointed,6,18.36,#087500
Setessan Champion,3,1.38,#087500
Setessan Tactics,2,0.41,#087500
Seton- Krosan Protector,3,1.45,#087500
Shamanic Revelation,5,1.21,#087500
Shaman of Forgotten Ways,3,7.01,#087500
Shape of the Wiitigo,6,0.34,#087500
Shapers' Sanctuary,1,0.97,#087500
Shared Summons,5,2.38,#087500
Shifting Ceratops,4,0.18,#087500
Shisato- Whispering Hunter,4,0.49,#087500
Shizuko- Caller of Autumn,3,4.9,#087500
Siege Behemoth,7,1.6,#087500
Silklash Spider,5,0.37,#087500
Silverfur Partisan,3,0.5,#087500
Silvos- Rogue Elemental,6,0.48,#087500
